idx,timestamp,Iak[A],VCC[V],Vak[V],P_anodo[W],P_fuente[W]
1,2025-10-07 22:14:50,0.021,96.9,0.7,0.0147,2.0349000000000004
2,2025-10-07 22:14:56,0.02,86.6,0.699,0.01398,1.732
3,2025-10-07 22:15:05,0.015,76.0,0.696,0.01044,1.14
4,2025-10-07 22:15:14,0.013,63.8,0.695,0.009035,0.8293999999999999
5,2025-10-07 22:15:25,0.009,52.99,0.699,0.0062909999999999,0.47691
6,2025-10-07 22:15:34,0.008,45.49,0.71,0.00568,0.36392
7,2025-10-07 22:32:07,0.008,43.49,0.716,0.005728,0.34792
8,2025-10-07 22:32:07,0.008,41.44,0.723,0.005784,0.33152
9,2025-10-07 22:32:07,0.008,39.1,0.742,0.005936,0.3128
10,2025-10-07 22:32:08,0.008,37.95,0.757,0.006056,0.3036
11,2025-10-07 22:32:08,0.0,36.92,37.05,0.0,0.0
